token_id,token,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
17,categorical,-0.166580,-0.046376,0.164535,-0.140108,0.080066,0.017316,-0.300555,-0.113184,0.001666,0.162240,-0.081009,0.109328,-0.181855,0.278454,0.129756,-0.102089
18,code,0.011294,0.013265,0.021625,0.053421,-0.038943,-0.026398,-0.009978,-0.000648,0.004447,-0.024471,0.011403,-0.015309,0.010922,-0.027679,0.026628,-0.028788
19,collected,-0.012991,-0.010106,0.000642,-0.033481,0.013485,-0.005012,-0.038905,-0.007696,-0.013770,0.005521,0.009376,-0.000284,-0.047498,0.012396,0.000123,-0.003555
20,collection,0.003667,0.010153,-0.000578,0.006859,0.028649,0.045245,0.020460,-0.028028,-0.033099,-0.042999,0.005297,-0.051105,0.002274,-0.029586,-0.002594,-0.010177
21,columns,0.025838,0.063517,-0.063340,0.014589,-0.050443,0.003875,0.139933,0.029467,0.037662,-0.080982,-0.004632,-0.046371,0.097010,-0.082267,-0.069138,0.029726
22,confusion,-0.005149,0.020364,-0.026690,0.004830,-0.001700,-0.017626,-0.008288,0.014806,-0.025454,-0.004317,0.008957,-0.020863,0.002168,-0.001788,-0.020463,-0.012026
23,context,-0.001952,-0.014269,0.034779,0.001854,-0.005378,0.031854,0.006353,0.014319,0.006580,-0.037147,0.027428,-0.010233,-0.003848,-0.002080,-0.000941,0.011164
24,correctness,0.007403,-0.015576,-0.002052,-0.032143,-0.012165,0.028930,0.012483,0.034654,0.031257,-0.033300,-0.020859,-0.002808,0.023866,0.011437,0.020374,0.022871
25,data,0.036360,-0.051979,-0.029514,0.005378,0.037744,0.063579,-0.033440,-0.006684,0.074987,-0.017534,-0.074475,0.047790,0.201241,-0.123459,-0.028962,-0.120917
26,dataset,0.027263,-0.032211,-0.041404,0.065658,-0.024876,-0.018882,0.070668,0.027171,0.025350,-0.013900,0.008998,0.007891,0.008714,-0.050465,-0.030883,0.027522
27,decision,0.002137,-0.003813,-0.018432,0.027361,-0.005289,-0.018998,0.018571,0.012660,-0.022313,-0.002484,-0.013442,-0.000706,0.010572,-0.019664,0.019141,-0.007584
28,decisions,0.011157,-0.005402,0.004879,0.004202,0.009311,0.010082,-0.004477,-0.016800,0.001096,0.030777,0.001390,-0.001764,-0.011216,-0.019214,0.018109,-0.022133
29,depends,0.102479,-0.023195,0.023166,0.013072,-0.057924,0.037883,-0.001390,0.008116,0.019902,-0.001509,-0.030045,-0.057202,-0.101464,-0.034062,-0.020475,-0.010056
30,documentation,0.005693,0.061422,0.043900,-0.006879,-0.021075,-0.002768,-0.031310,-0.005917,0.030448,-0.083640,0.026956,-0.006268,0.007327,0.065933,0.027154,0.022777
31,efficiency,0.008299,-0.008927,0.022066,0.011009,-0.000709,0.002177,-0.014749,0.006519,0.013047,0.008034,0.007289,-0.009386,0.009421,-0.010724,0.004109,-0.010784
32,enables,0.035873,0.003680,-0.027071,0.028248,-0.008119,-0.019514,0.003793,0.008781,-0.007248,0.047181,0.037195,0.000899,-0.020842,0.025166,-0.001527,0.012051
33,error,-0.021920,-0.033717,0.015337,-0.034475,0.026790,-0.013890,-0.043628,-0.009495,0.001293,0.026337,0.003592,0.002941,-0.038172,0.036398,-0.001577,-0.015535
34,estimates,-0.023416,0.019301,0.028569,0.012210,-0.024809,0.000187,-0.002539,0.038226,-0.014115,-0.010068,-0.017668,0.005088,0.017220,0.006116,0.022802,-0.000534
35,ethics,0.031763,-0.024438,0.057470,0.000743,0.025794,-0.014438,-0.030883,0.073333,0.005957,-0.036942,-0.020776,0.061310,0.010110,-0.018753,-0.000374,-0.017180
36,evaluation,0.004665,-0.007144,0.047606,-0.035766,-0.007383,0.049727,-0.054760,0.010134,-0.008005,0.004027,0.004036,0.001153,-0.014699,0.028528,0.035345,0.030874
37,examination,-0.021717,-0.001242,0.008142,-0.008475,-0.001186,-0.001270,0.008220,0.021800,-0.019603,-0.020681,0.008282,0.013865,0.019989,0.005892,0.017900,-0.031857
38,explains,-0.003359,-0.010987,0.000108,-0.005316,0.008964,-0.011005,-0.007551,-0.025778,-0.020678,0.014823,0.004135,-0.004866,-0.006302,-0.002240,-0.009292,-0.048632
39,groups,0.029344,0.001040,0.002126,0.016678,0.003039,-0.025068,-0.005020,-0.003176,-0.015747,0.020348,0.006892,0.035764,-0.044159,0.020229,0.004234,0.013270
40,guarantee,0.047158,0.061157,-0.060804,0.040354,-0.060821,-0.008173,0.158117,0.061870,0.029277,-0.102751,0.014619,-0.050287,0.109614,-0.119829,-0.069688,0.012522
41,guide,-0.008098,0.004182,-0.016064,0.005263,-0.011842,0.008056,-0.010291,-0.002055,0.011741,-0.026073,-0.023878,0.007640,-0.000859,0.038208,0.019052,-0.018540
42,guides,0.006320,-0.003810,0.007843,0.017218,-0.011007,0.013319,-0.021311,0.002966,-0.007755,-0.002037,-0.007618,-0.009549,-0.005579,0.004541,0.026825,0.002762
43,has,0.071106,0.107453,-0.070209,0.061461,-0.123807,-0.003971,0.248868,0.040620,0.026501,-0.095317,0.003579,-0.078594,0.136444,-0.114982,-0.106780,0.030121
44,improves,-0.018380,0.010779,0.021432,-0.022934,0.001955,0.013241,-0.026562,-0.007033,-0.015425,0.001710,-0.002661,0.005633,0.041494,-0.012739,0.019163,-0.008753
45,increases,-0.003321,-0.013093,-0.010143,-0.002931,-0.012932,0.010154,0.011054,0.016278,-0.000813,0.002223,0.003767,0.005470,0.002596,-0.003552,0.010166,-0.001665
46,insight,0.018953,-0.010796,0.014188,0.018101,0.003404,0.015711,0.000785,0.016409,-0.004901,-0.015556,-0.004599,-0.026634,0.052602,-0.021248,0.008876,-0.041086
47,into,0.000263,-0.018743,0.009416,0.049823,-0.004754,-0.000502,0.000818,-0.021945,-0.025621,0.009996,-0.010077,-0.028963,0.000243,-0.026049,0.026306,-0.017012
48,is,0.093760,0.283089,-0.353298,0.192045,-0.303936,-0.073290,0.562447,0.186802,0.093125,-0.253365,0.089503,-0.180970,0.347407,-0.302778,-0.256808,0.164094
49,labels,-0.013617,0.034640,-0.075227,0.021462,-0.055586,-0.022319,0.142208,0.045793,0.049443,-0.076496,0.002137,-0.069724,0.098142,-0.115524,-0.019267,0.031393
50,limitations,0.015280,0.040919,-0.066126,0.036604,-0.048463,-0.012058,0.135570,0.048981,0.032739,-0.084098,0.010934,-0.066648,0.075607,-0.077814,-0.044691,0.033449
51,making,-0.027153,-0.026034,0.009416,-0.039763,0.048487,0.004905,-0.068738,-0.024361,-0.032690,0.043579,0.013651,0.047018,-0.024434,0.056811,0.004135,-0.060473
52,manual,0.027773,-0.008415,0.000798,0.012449,0.034287,-0.001746,-0.010823,-0.011536,0.006174,0.002719,-0.004485,0.004032,0.025392,-0.000152,0.003992,-0.003018
53,means,-0.009175,-0.008601,0.022119,0.001948,0.005979,0.012761,0.013433,0.006530,-0.013901,-0.024830,0.019052,-0.004849,-0.009806,-0.003417,0.008875,-0.001413
54,measurement,0.015518,0.052900,-0.051549,0.043266,-0.059595,-0.001301,0.131779,0.039802,0.036975,-0.063501,-0.010406,-0.049437,0.091892,-0.098160,-0.024132,0.028957
55,measures,0.046825,-0.027417,0.013654,0.026992,-0.005373,0.002645,-0.001701,0.001594,-0.031782,0.045598,-0.000061,-0.000723,-0.038062,0.051554,-0.014032,-0.007250
56,metric,-0.018807,0.012621,0.014410,-0.047933,-0.009295,-0.008222,-0.016033,0.013496,0.003044,-0.015361,-0.009605,-0.055601,0.039574,-0.070378,-0.013690,-0.019642
57,misleading,0.027541,0.045112,-0.051673,0.032137,-0.051744,0.005542,0.140044,0.046040,0.047460,-0.071231,0.000296,-0.046562,0.103267,-0.084706,-0.067788,0.006196
58,model,0.051292,-0.010706,-0.047381,0.073720,-0.022790,-0.043229,0.048897,0.008599,0.039445,-0.016501,0.009241,0.005973,0.043512,-0.068207,-0.001677,0.037280
59,must,0.020542,-0.021307,-0.010713,-0.000901,0.003915,0.015036,-0.013262,-0.003479,0.022749,-0.015162,-0.034741,-0.001748,-0.003361,-0.001444,0.022301,-0.004888
60,name,-0.003410,0.026677,-0.026038,-0.058816,-0.006780,-0.018032,0.050117,0.021434,0.011663,-0.035396,0.008375,0.001467,0.036630,0.004624,-0.029851,0.022177
61,not,0.029724,0.032522,-0.060748,0.049709,-0.069326,-0.003000,0.155171,0.018825,0.012589,-0.048802,0.012850,-0.023027,0.049802,-0.040745,-0.070173,0.020742
62,numbers,0.022679,0.061819,-0.060725,0.024696,-0.040559,0.001821,0.132155,0.034309,0.038698,-0.096344,-0.000428,-0.037886,0.104403,-0.080064,-0.055395,0.019468
63,numeric,-0.123089,-0.025462,0.130136,-0.096186,0.042349,0.024948,-0.265158,-0.092334,-0.011932,0.119744,-0.085873,0.043985,-0.149992,0.211858,0.100595,-0.123963
64,observations,0.013022,0.033338,-0.066772,0.027804,-0.038089,0.003903,0.121316,0.035388,0.034020,-0.094072,0.004979,-0.058864,0.101085,-0.097278,-0.041962,0.016644
65,of,0.062618,-0.026840,-0.053241,0.091764,-0.037725,-0.039929,0.012773,-0.052539,-0.033163,0.049552,0.032397,0.082837,-0.059577,0.015436,0.059077,0.012737
66,on,0.045214,-0.017798,-0.010405,0.051365,-0.007207,-0.013453,-0.026602,-0.032520,-0.007915,0.025929,0.027977,0.011091,-0.004190,0.042598,-0.010543,0.041751
67,or,0.024890,0.000529,-0.026624,0.028083,-0.007794,-0.018012,-0.001550,-0.019136,0.001278,0.000333,-0.003539,-0.018955,0.002280,-0.005761,0.026937,0.002833
68,ordered,0.038468,0.041761,-0.068970,0.033634,-0.057530,-0.011670,0.138829,0.060087,0.049481,-0.101781,0.001934,-0.043786,0.089119,-0.088189,-0.049372,0.033438
69,outcome,0.011016,0.020879,-0.055471,0.034208,-0.063509,-0.019813,0.148686,0.032809,0.040901,-0.079287,-0.000763,-0.040126,0.086025,-0.091662,-0.064808,0.033185
70,oversight,0.013779,0.013363,0.005670,0.006172,0.004322,-0.010151,-0.006415,0.008741,0.007389,0.012329,0.010699,0.007490,-0.017599,0.008400,-0.009341,0.004966
71,performance,0.036445,0.057789,-0.054788,0.040116,-0.064016,0.002217,0.155984,0.040675,0.031089,-0.076895,-0.003807,-0.052379,0.101540,-0.101233,-0.057961,0.006880
72,pipeline,0.037588,0.011484,-0.043032,0.099592,-0.045734,-0.008554,0.060280,-0.019786,-0.038596,-0.013728,0.039546,0.000519,0.008168,-0.023578,-0.003540,0.028639
73,practice,0.000429,0.013771,0.014964,-0.009330,0.013398,0.001793,0.010859,0.002464,-0.002102,-0.003087,0.019746,-0.021146,-0.033475,-0.010792,0.015717,-0.039117
74,prediction,0.003818,0.028825,-0.021885,0.043475,-0.002100,0.038002,-0.031175,-0.006252,-0.008239,-0.038295,0.044807,-0.041166,0.027441,-0.081545,-0.044681,-0.020456
75,probabilistic,0.014670,0.041361,-0.084211,0.025707,-0.050185,-0.000910,0.140187,0.047297,0.053926,-0.086323,-0.008283,-0.054555,0.093869,-0.082652,-0.063902,0.016719
76,question,-0.023003,0.012225,-0.002524,-0.001289,-0.010880,-0.014432,0.023680,0.021787,-0.016509,-0.026869,0.012608,0.019489,0.028953,-0.019488,0.020092,-0.027717
77,reality,0.049104,0.040061,-0.059484,0.040054,-0.046724,-0.012236,0.143966,0.059012,0.042132,-0.099884,0.003478,-0.048748,0.079887,-0.097737,-0.033510,0.034616
78,records,0.046989,0.075054,-0.058155,0.019666,-0.076915,-0.006005,0.135740,0.049850,0.040999,-0.062625,-0.007277,-0.045867,0.088849,-0.062180,-0.066734,0.015422
79,reduces,0.054889,-0.028849,0.049788,0.010861,0.015292,0.014850,-0.009043,-0.007845,0.004655,0.025525,-0.010702,-0.019326,-0.008094,-0.022317,0.053592,0.019217
80,repeatability,0.001894,0.005867,0.015969,0.014906,0.024080,-0.002824,0.008173,0.000273,0.016110,0.001772,-0.019631,-0.015270,0.014438,-0.001250,0.020623,-0.018650
81,repeated,-0.019868,-0.017300,0.000688,-0.009330,0.033237,0.007088,0.008230,0.013456,0.022804,-0.012125,-0.016915,-0.023352,0.033710,-0.000635,0.006160,-0.011610
82,representation,0.032095,0.044988,-0.082333,0.044362,-0.061693,-0.001012,0.139933,0.058200,0.035207,-0.100254,-0.005912,-0.059665,0.065267,-0.088693,-0.037781,0.021106
83,represents,0.011011,0.043004,-0.077672,0.027338,-0.062005,0.003598,0.126148,0.066364,0.050968,-0.094247,-0.022509,-0.068599,0.087414,-0.094489,-0.053935,0.010660
84,reproducibility,0.040749,-0.057730,0.039483,-0.043398,-0.026211,0.011188,-0.006879,-0.024156,0.008673,0.051425,0.012470,-0.018072,-0.013848,0.025072,0.017824,-0.008733
85,require,0.005175,-0.008863,0.015556,0.003396,0.014927,0.020475,0.004977,-0.008987,0.004863,-0.011029,-0.015713,0.018183,-0.007233,-0.024202,0.012899,0.004547
86,requires,0.011060,-0.049765,0.005283,0.026917,-0.010448,-0.031465,0.031484,-0.017645,-0.037545,0.045372,0.008704,0.011468,-0.036188,0.026185,0.017114,-0.020747
87,responsible,0.016144,-0.031908,0.011654,-0.024756,0.009421,-0.008220,0.014570,0.017409,-0.002264,-0.022266,0.014929,-0.015991,-0.027187,-0.009325,0.022796,0.000919
88,results,0.013989,-0.035964,0.015859,0.006937,-0.019202,0.006670,-0.026489,-0.009551,0.023948,-0.007430,0.017198,0.001698,0.041440,-0.000362,0.001297,-0.027148
89,reuse,0.014422,0.002376,0.012801,0.001588,-0.006217,0.002717,0.008275,-0.013629,0.012746,0.002756,-0.011034,-0.013077,0.008114,-0.007326,-0.012706,-0.029146
90,rows,-0.004918,-0.011127,-0.012757,0.006438,0.006629,-0.002801,-0.033457,0.021653,0.003191,0.001580,-0.018000,-0.011519,-0.005789,0.005842,-0.006481,0.000979
91,sequence,-0.006553,0.001343,0.039591,0.004006,0.012379,0.018113,0.017655,-0.020980,-0.010557,-0.026766,-0.002652,-0.023289,0.009577,-0.032196,0.017345,0.017387
92,simplified,0.030624,-0.020195,-0.017686,0.023612,0.013987,0.003137,0.023804,-0.014143,-0.022411,0.033357,0.002388,0.022582,-0.003124,0.018423,-0.016421,0.026549
93,steps,0.032034,0.028913,-0.049270,0.040234,-0.046346,-0.009847,0.142920,0.044126,0.049992,-0.060795,0.015952,-0.046041,0.086904,-0.085294,-0.042142,0.002874
94,stores,0.030301,-0.054520,-0.015870,0.038394,0.022315,-0.024910,-0.019506,-0.016717,-0.015900,0.081795,0.019095,0.034008,-0.066559,0.023528,-0.009455,0.039715
95,structured,-0.005385,-0.011600,-0.014859,0.005953,0.002226,-0.000576,-0.033876,0.004775,0.000354,0.000786,-0.005301,-0.016524,-0.004397,0.009681,-0.021475,-0.012477
96,summarizes,0.022814,-0.018549,-0.006530,0.022055,0.007783,-0.023443,-0.013872,-0.001731,-0.023593,0.026043,-0.000107,0.033018,-0.024246,0.025244,0.008057,0.019330
97,supports,-0.028353,0.002913,0.031104,0.005372,-0.006920,-0.017386,0.023945,-0.011052,-0.032184,0.045947,0.003387,0.012418,-0.004082,0.031584,0.019859,-0.018494
98,systematic,-0.023851,-0.007963,0.021221,-0.000003,0.039736,-0.017178,-0.037142,0.006447,-0.004819,-0.005192,0.003280,0.014131,-0.036803,-0.008493,0.011395,-0.013459
99,the,-0.034921,0.003146,0.027908,-0.061665,0.072374,0.028726,-0.110564,-0.046899,-0.013743,0.042761,0.007913,0.031480,-0.069216,0.075711,0.014731,0.008790
100,to,0.016317,-0.009743,-0.014926,0.011377,-0.005815,-0.004340,-0.010225,0.005580,-0.004555,-0.013602,0.002577,-0.016019,0.025583,-0.034707,0.003254,-0.034057
101,transforms,0.040090,-0.027650,-0.026727,0.030867,-0.009348,-0.009261,0.007104,-0.003047,-0.012813,0.023187,0.018278,0.043299,0.021971,-0.000840,0.023152,-0.029235
102,transparency,0.008986,0.000159,-0.002385,-0.005997,0.019657,0.005877,0.011038,-0.011970,-0.020227,-0.014836,-0.009574,0.005049,0.010583,0.010411,-0.015859,0.017946
103,trust,-0.023931,-0.017766,0.001423,0.001165,0.009769,0.005872,-0.006880,0.011088,-0.022497,0.000465,-0.004239,0.007150,-0.006134,-0.005607,-0.022147,-0.043036
104,turns,0.005575,-0.006313,0.007290,-0.003642,0.003184,0.005897,0.020967,0.015091,-0.014965,-0.021737,-0.010746,0.000868,0.040236,-0.022125,0.023924,-0.025028
105,type,0.042052,0.076894,-0.065186,0.037650,-0.058650,0.000919,0.147014,0.052796,0.042057,-0.095987,-0.019759,-0.058418,0.121473,-0.064982,-0.027903,0.022713
106,unstructured,0.021253,0.019755,-0.008215,-0.015843,-0.029409,0.011816,0.009779,0.009591,0.010324,-0.019622,0.003697,-0.004455,0.038581,-0.016392,-0.001703,-0.044763
107,using,0.014233,0.007655,-0.005706,0.042699,-0.013344,-0.016958,0.029595,0.000275,-0.016584,-0.032992,-0.007985,-0.013875,0.017508,-0.025113,0.029587,-0.035400
108,value,-0.019385,0.019441,-0.018494,-0.032260,-0.001684,0.001198,0.034005,0.015109,0.014090,-0.047394,-0.007407,-0.012798,0.027506,-0.001443,-0.018215,0.034131
109,values,0.015961,-0.013354,-0.017946,-0.009698,-0.021383,0.014295,0.016497,0.021430,-0.007239,-0.019659,0.015208,-0.012341,0.045898,-0.018465,0.004795,-0.024692
110,variable,0.114348,-0.009226,-0.052485,0.221422,0.003407,-0.112204,-0.040661,-0.039510,0.019247,0.085121,0.035556,0.071680,0.022142,0.013889,-0.075742,0.020280
111,work,0.009504,-0.014871,0.026100,-0.022203,-0.010570,0.034651,-0.006972,-0.008795,-0.013767,-0.008142,0.012234,0.002463,-0.011597,-0.003309,0.006903,0.013853
