token_id,token,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,a,-0.834627,-0.473438,0.912018,-1.137229,1.081958,0.012882,-2.114702,-0.668580,-0.514377,1.396012,0.009249,0.907704,-1.560998,1.525742,0.526652,0.112959
1,accuracy,-0.000156,-0.081962,-0.013860,0.004969,-0.004686,0.009797,-0.021291,-0.015245,0.009165,0.016965,0.007435,0.007603,0.030203,-0.027476,-0.003065,-0.021925
2,an,0.013729,-0.097263,-0.015992,-0.103311,0.113417,-0.057298,-0.041264,-0.006812,-0.020587,0.013921,0.048275,0.008834,-0.102250,0.101077,0.054999,-0.031155
3,analysis,0.050520,-0.048325,-0.053027,0.094791,-0.000677,-0.038747,0.030236,-0.057988,-0.028690,0.084884,0.019150,0.011346,-0.014526,0.006300,-0.045378,0.035448
4,analytics,0.025272,-0.021142,0.011307,0.037189,-0.019212,-0.027029,-0.016152,0.011153,-0.017508,-0.035475,0.007106,-0.032109,-0.011820,-0.077928,0.004739,0.004845
5,and,0.051500,-0.021661,-0.022956,0.043166,0.004545,0.000940,0.033522,-0.011402,-0.035621,0.015727,-0.020461,0.019634,0.025250,-0.017456,0.006082,-0.001981
6,answers,0.026815,0.070442,-0.073019,0.023280,-0.056246,-0.005543,0.132405,0.038599,0.011648,-0.066483,-0.017148,-0.060366,0.079890,-0.081599,-0.051901,0.004048
7,apply,-0.010933,0.031197,0.019578,0.042148,-0.036134,-0.011338,-0.003231,0.005147,-0.016560,-0.000844,-0.005174,-0.018481,0.000089,0.008271,-0.016832,-0.003343
8,approximates,0.023576,-0.001385,-0.016408,0.036797,-0.004172,0.013106,-0.003515,-0.031126,-0.005538,0.060973,0.013525,0.025678,-0.025020,0.008497,0.002433,-0.015592
9,assumptions,0.026975,0.067980,-0.058886,0.011658,-0.075355,0.010158,0.134444,0.049664,0.037460,-0.091021,0.001684,-0.048579,0.086624,-0.077089,-0.070678,0.033801
10,automation,-0.003533,-0.041749,-0.011765,0.027440,-0.006584,0.041937,-0.005161,-0.008204,0.019209,-0.015772,-0.042981,-0.004509,0.024213,0.009201,0.032615,-0.049615
11,be,0.012308,-0.046097,-0.021548,0.100844,0.051011,0.033098,-0.064487,0.019065,-0.003254,0.032038,-0.008226,0.010152,0.018211,-0.018813,0.033903,-0.015806
12,behavior,0.037292,0.053630,-0.062654,0.047206,-0.053650,-0.001858,0.129606,0.060569,0.033262,-0.094607,0.012378,-0.055646,0.090639,-0.109663,-0.048698,0.006635
13,builds,-0.007168,-0.030271,-0.013433,-0.013866,0.012261,0.010497,0.014057,-0.006316,0.006560,0.002440,0.017704,0.001623,0.007518,0.027099,-0.000893,-0.050722
14,calculation,0.032855,0.062731,-0.060741,0.033024,-0.039920,0.012366,0.124594,0.039606,0.007685,-0.106201,-0.002777,-0.043616,0.099273,-0.084671,-0.044349,0.012157
15,can,0.015859,-0.021846,0.001610,0.066568,-0.005156,0.023610,-0.032649,0.000934,-0.022819,-0.096874,-0.063175,-0.027127,-0.000056,-0.047415,0.085099,-0.044168
16,carefully,-0.022048,0.020485,0.013186,0.006375,-0.005077,0.011396,0.010284,0.012935,0.010880,-0.035739,-0.014812,0.016549,0.010949,0.010734,-0.007913,-0.015364
